Title,Singer,Genre,Release,Lyric,Year,Month,Year_Month
바라만 본다,MSG워너비(M.O.M),발라드,2021.06.26,내가 너라면 다 알아볼 텐데 널 위할 사람 찾아낼 텐데 지난 오랜 시간 너의 그 곁을 지켜온 나라는 걸 내가 너였다면 참 행복할 텐데 한 사람을 다 가졌으니까 둔한 바보도 눈치챌 그 사랑을 너만 왜 모르니 너를 바라만 바라만 본다 외쳐 네 이름만 부른다 보고 싶은 맘에 너를 향한 그 발걸음 네 곁을 맴도는데 오늘도 그리고 그리워하다 애써 참았던 눈물이 흘러 그저 멀리서만 바라보다 또 소리쳐 네가 보고 싶다 네가 나라면 더 참 아팠을 텐데 슬픈 역할은 내가 맡을게 웃는 모습만 보이며 살아가 줘 내가 볼 수 있게 너를 바라만 바라만 본다 외쳐 네 이름만 부른다 보고 싶은 맘에 너를 향한 그 발걸음 네 곁을 맴도는데 오늘도 그리고 그리워하다 애써 참았던 눈물이 흘러 그저 멀리서만 바라보다 또 소리쳐 네가 보고 싶다 한 걸음 더 다가갈까 더 가까이 네게 갈까 OH 어제보다 더 내일 더 널 사랑해 I’ll make you love me someday 혼자 바라고 바라만 보다 울컥 그리움이 솟는다 바보 같은 맘에 하지 못한 그 한마디 널 사랑한다는 말 얼마나 그리고 그리워해야 내 맘 너의 곁에 닿게 될까 매일 하루 종일 너의 생각에 사무쳐 너무 보고 싶다,2021,6,202106
Next Level,aespa,댄스,2021.05.17,I’m on the Next Level Yeah 절대적 룰을 지켜 내 손을 놓지 말아 결속은 나의 무기 광야로 걸어가 알아 네 Home ground 위협에 맞서서 제껴라 제껴라 제껴라  상상도 못한 Black out 유혹은 깊고 진해 (Too hot too hot) 맞잡은 손을 놓쳐 난 절대 포기 못해  I’m on the Next Level 저 너머의 문을 열어 Next Level 널 결국엔 내가 부셔 Next Level KOSMO에 닿을 때까지 Next Level 제껴라 제껴라 제껴라  La la la la la la La la la la la la La la la la la la La la la la la  I see the NU EVO. 적대적인 고난과 슬픔은 널 더 Popping 진화시켜 That’s my naevis It’s my naevis You lead we follow 감정들을 배운 다음 Watch me while I make it out  Watch me while I work it out Watch me while I make it out Watch me while I work it out Work it work it work it out  감당할 수 없는 절망도 내 믿음을 깨지 못해 더 아픈 시련을 맞아도 난 잡은 손을 놓지 않을게 Oh  절대로 뒤를 돌아보지 말아 광야의 것 탐내지 말아 약속이 깨지면 모두 걷잡을 수 없게 돼 언제부턴가 불안해져 가는 신호 널 파괴하고 말 거야 (We want it) Come on! Show me the way to KOSMO Yeah  Black Mamba가 만들어낸 환각 퀘스트 aespa ae를 분리시켜놓길 원해 그래 중심을 잃고 목소리도 잃고 비난받고 사람들과 멀어지는 착각 속에 naevis 우리 ae ae들을 불러봐 aespa의 Next Level “P.O.S”를 열어봐 이건 REAL WORLD 깨어났어 We against the villain What’s the name? Black Mamba  결국 난 문을 열어 그 빛은 네겐 Fire (Too hot too hot) 난 궁금해 미치겠어 이다음에 펼칠 Story Huh!  I’m on the Next Level 저 너머의 문을 열어 Next Level 널 결국엔 내가 부셔 Next Level KOSMO에 닿을 때까지 Next Level 제껴라 제껴라 제껴라  I’m on the Next Level 더 강해져 자유롭게 Next Level 난 광야의 내가 아냐 Next Level 야수 같은 나를 느껴 Next Level 제껴라 제껴라 제껴라 Huh!,2021,5,202105
Butter,방탄소년단,댄스,2021.05.21,Smooth like butter Like a criminal undercover Gon’ pop like trouble Breakin’ into your heart like that  Cool shade stunner Yeah I owe it all to my mother Hot like summer Yeah I’m makin’ you sweat like that  Break it down  Oh when I look in the mirror I’ll melt your heart into 2 I got that superstar glow so Do the boogie like  Side step right left to my beat (heartbeat) High like the moon rock with me baby Know that I got that heat Let me show you ‘cause talk is cheap Side step right left to my beat (heartbeat) Get it let it roll  Smooth like butter Pull you in like no other Don’t need no Usher To remind me you got it bad  Ain’t no other That can sweep you up like a robber Straight up I got ya Makin’ you fall like that  Break it down  Oh when I look in the mirror I’ll melt your heart into 2 I got that superstar glow so Do the boogie like  Side step right left to my beat (heartbeat) High like the moon rock with me baby Know that I got that heat Let me show you ‘cause talk is cheap Side step right left to my beat (heartbeat) Get it let it roll  Get it let it roll Get it let it roll  No ice on my wrist I'm that n-ice guy Got that right body and that right mind Rollin' up to party got the right vibe Smooth like butter Hate us love us  Fresh boy pull up and we lay low All the playas get movin’ when the bass low Got ARMY right behind us when we say so Let's go  Side step right left to my beat (heartbeat) High like the moon rock with me baby Know that I got that heat Let me show you ‘cause talk is cheap Side step right left to my beat (heartbeat) Get it let it roll  Smooth like (butter) Cool shade (stunner) And you know we don't stop  Hot like (summer) Ain’t no (bummer) You be like oh my god  We gon’ make you rock and you say (yeah) We gon’ make you bounce and you say (yeah)  Hotter? Sweeter! Cooler? Butter!  Get it let it roll,2021,5,202105
신호등,이무진,록메탈,2021.05.14,이제야 목적지를 정했지만 가려한 날 막아서네 난 갈 길이 먼데 새빨간 얼굴로 화를 냈던 친구가 생각나네 이미 난 발걸음을 떼었지만 가려한 날 재촉하네 걷기도 힘든데 새파랗게 겁에 질려 도망간 친구가 뇌에 맴도네 건반처럼 생긴 도로 위 수많은 동그라미들 모두가 멈췄다 굴렀다 말은 잘 들어 그건 나도 문제가 아냐 붉은색 푸른색 그 사이 3초 그 짧은 시간 노란색 빛을 내는 저기 저 신호등이 내 머릿속을 텅 비워버려 내가 빠른지도 느린지도 모르겠어 그저 눈앞이 샛노랄 뿐이야 솔직히 말하자면 차라리 운전대를 못 잡던 어릴 때가 더 좋았었던 것 같아 그땐 함께 온 세상을 거닐 친구가 있었으니 건반처럼 생긴 도로 위 수많은 조명들이 날 빠르게 번갈아 가며 비추고 있지만 난 아직 초짜란 말이야 붉은색 푸른색 그 사이 3초 그 짧은 시간 노란색 빛을 내는 저기 저 신호등이 내 머릿속을 텅 비워버려 내가 빠른지도 느린지도 모르겠어 그저 눈앞이 샛노랄 뿐이야 꼬질꼬질한 사람이나 부자 곁엔 아무도 없는 삼색 조명과 이색 칠 위에 서 있어 괴롭히지 마 붉은색 푸른색 그 사이 3초 그 짧은 시간 노란색 빛을 내는 저기 저 신호등이 내 머릿속을 텅 비워버려 내가 빠른지도 느린지도 모르겠어 그저 눈앞이 샛노랄 뿐이야,2021,5,202105
헤픈 우연,헤이즈 (Heize),R&BSoul,2021.05.20,처음이라기엔 너무 길을 이미 다 아는 듯이 우연히라기엔 모두 다 정해진 듯이  우연히 눈을 떠 보니 이 세상에 태어나 있었고 하필 네가 있는 곳이었다 서서히 몸에 배어버린 사소한 습관들이 네게로 가는 길을 내게 알려줘  처음이라기엔 너무 길을 이미 다 아는 듯이 우연히라기엔 모두 다 정해진 듯이  고통의 사랑도 보통의 이별도 You can make it happen You can make it heaven 우연히라기엔 모두 다 정해진 듯이  만약 내가 그때 그곳을 헤매지 않았더라면 그날 네가 마음 아픈 이별을 안 했었더라면 네 뒤를 따라 걷던 곳 네가 떨어트렸던 꽃 위태롭던 시간 속 서로를 기다려왔어 운명이라고 하기엔 이를 수 있다 생각해 우연히라고 하기엔 설명이 필요한 것 같아 어쩌면 또 스칠 수 있을지 몰라도 지금이 아니면 안 될 것 같던 그 때로  처음이라기엔 너무 길을 이미 다 아는 듯이 우연히라기엔 모두 다 정해진 듯이  고통의 사랑도 보통의 이별도 You can make it happen You can make it heaven 우연히라기엔 모두 다 정해진 듯이  어쩌면 기억을 지운 채로 하나였던 우린 둘이 되고 운명이란 작은 점 안에서 서로를 찾으며 살았는지도  고통의 사랑도 보통의 이별도 You can make it happen You can make it heaven 우연히라기엔 모두 다 정해진 듯이  우연히 서서히 점점 더 멀어져가 우연히 천천히 처음 그곳으로 가,2021,5,202105
치맛바람 (Chi Mat Ba Ram),브레이브걸스,댄스,2021.06.17,"You know what it is B. girls are back Brave Sound We're gonna be ""Summer Queens"" You ready? We are ""BRAVE GIRLS""  Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh  Just wanna give ur love 날 보는 눈빛에 분명 적혀있어 내게 Rollin' in the deep (Rollin' Rollin')  I don't want ""지루함"" or ""따분함"" Oh get away 난 더 특별함을 원해 너에게  푸른 바람 불어와 두 볼을 스칠 때 (Hey) 또 괜히 나 왜 두근거려 왜 (왜)  Call me ""Desperado"" 뭐래도 몰라도 돼 오늘만은 내 멋대로 Go far away  치맛바람이 불어와 (불어와) 내게도 사랑이 찾아와 Yeah 뜨거운 햇살이 비춰와 (비춰와) 아름다운 여름밤이라구요  살랑 살랑 살랑 불어 기분 좋은 날에 바람 바람 바람 이 시원한 바람 찰랑 찰랑 찰랑 이 푸른 바닷가에 바람 바람 바람 치 맛 바 람  눈치 따위는 안 보여 Babe (널 향한 내 맘에)  내숭 따위는 Get nah Joy Babe (This is my way)  Your eyes on my body 눈 떼지 못해 넌  부디 오늘 밤은 I don't let you go Ooh baby I mean You know  푸른 바람 불어와 두 볼을 스칠 때 (Hey) 또 괜히 나 왜 두근거려 왜 (왜)  Call me ""Desperado"" 뭐래도 몰라도 돼 오늘만은 내 멋대로 Go far away  치맛바람이 불어와 (불어와) 내게도 사랑이 찾아와 Yeah 뜨거운 햇살이 비춰와 (비춰와) 아름다운 여름밤이라구요  살랑 살랑 살랑 불어 기분 좋은 날에 바람 바람 바람 이 시원한 바람 찰랑 찰랑 찰랑 이 푸른 바닷가에 바람 바람 바람 치 맛 바 람  너와 함께 있고 이 밤은 빛나는데 Now I'm Fearless 난 없어 무서울게  I know 너도 내 맘과 같은 걸 We're just falling in love  Let's Go!  Oh Oh Oh Oh Oh Oh (Oh Babe) Oh Oh Oh Oh Oh Oh Oh (시원한 이 바람) Oh Oh Oh Oh Oh Oh (Oh Babe Babe) 치 맛 바 람",2021,6,202106
나를 아는 사람,MSG워너비(정상동기),발라드,2021.06.26,나 지금 할 말이 있어서 그댈 기다리다 멍하니 서성이죠 뭘 모르는 그런 나이는 이미 오래전에 지나버렸어도 자꾸 떨리는 건 설명할 수 없어요 긴 하루 끝에 지친 어깨를 안아주는 그대의 목소리라는 걸 알까요 혹시 그대 맘도 나와 같을까요 나를 아는 사람 중에 그렇게 웃어주는 사람이 있을까요 그대뿐이죠 그대는 어떤가요 내가 아는 사람 중에 그렇게 사랑스런 사람이 있을까요 그대뿐이죠 사랑을 시작해요 이렇게 다 지나버린 내 어린 시절 그때처럼 두근거리는 소리가 들리나요 혹시 그대 맘도 나와 같을까요 나를 아는 사람 중에 그렇게 웃어주는 사람이 있을까요 그대뿐이죠 그대는 어떤가요 내가 아는 사람 중에 그렇게 사랑스런 사람이 있을까요 그대뿐이죠 사랑을 시작해요 난 세상에서 어느샌가 어른이 되고 더 남은 위로가 내겐 없었죠 남은 위로가 내겐 없었죠 나를 바라보는 그대가 없다면 나만 아는 그대의 눈 그렇게 아름다운 미소가 있을까요 당신뿐이죠 그대는 어떤가요 나를 아는 사람 중에 그렇게 말해주는 사람이 있을까요 그대뿐이죠 사랑을 시작해요 영원히,2021,6,202106
Dun Dun Dance,오마이걸 (OH MY GIRL),댄스,2021.05.10,Dun Dun Dance Dun Dun Dance Dun Dun Dance Just dance Just dance Dun Dun Dance Dun Dun Dance Dun Dun Dance Just dance Just dance 유성이 비처럼 쏟아지는 하늘 그 아래 너와 함께 춤추고 싶어 색색의 옷들과 예쁜 액세서리 oh baby 흐르는 저 음악이 내 맘을 설레게 하지 I feel the disco rhythm in my body 다른 아무것도 생각하진 마 yeah 발자국으로 가득한 무대 위에 올라 자유로운 몸짓 그 사랑스런 느낌 저 따분했던 하루와 일상에서 벗어나 oh tonight Just you and I 지구를 등지고 떠올라 맘껏 crazy crazy crazy 긴 춤을 춰 말리지 마 지금 내 기분은 feel so high 멀리 멀리 멀리 다 눈부셔 I just wanna Dun Dun Dance Dun Dun Dance Dun Dun Dance Oh baby give me baby give me baby give me more 날 멈추지 마 love this song Just wanna Dun Dun Dance Dun Dun Dance Dun Dun Dance Just dance Just dance Shining like a disco ball 빨간 high heels on the road Got my eyes on you and you got yours 저 태양이 다시 눈뜰 때까지 넌 평범한데 뭔가 달라 왠지 묘한 구석이 있네 난 가려져 있는 게 보여 우린 모두 이상해 조금씩은 yeah 사람을 가장한 낯선 존재들처럼 oh baby yeah 놀라지 않아 괜찮아 좀 더 가까이 와 다른 시선 따위 다 잊어버려 우리 늘 복잡한 저세상과 기대에서 벗어나 oh tonight Just you and I 지구를 등지고 떠올라 맘껏 crazy crazy crazy 긴 춤을 춰 말리지 마 지금 내 기분은 feel so high 멀리 멀리 멀리 다 눈부셔 I just wanna Dun Dun Dance Dun Dun Dance Dun Dun Dance Oh baby give me baby give me baby give me more 날 멈추지 마 love this song Just wanna Dun Dun Dance Dun Dun Dance Dun Dun Dance Just dance Just dance 어차피 작은 점일 뿐야 보석 같은 아이야 몇 발짝 멀리 떨어져서 바라보면 돼 우린 dancing on fire Just you and I 지구를 등지고 떠올라 맘껏 crazy crazy crazy 긴 춤을 춰 말리지 마 지금 내 기분은 feel so high 멀리 멀리 멀리 다 눈부셔 I just wanna Dun Dun Dance Dun Dun Dance Dun Dun Dance Oh baby give me baby give me baby give me more 날 멈추지 마 love this song Just wanna Dun Dun Dance Dun Dun Dance Dun Dun Dance Just dance Just dance,2021,5,202105
Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,POP,2021.03.19,I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it And I see you Oh the way I breathe you in In It's the texture of your skin I wanna wrap my arms around you baby Never let you go oh And I say oh there's nothing like your touch It's the way you lift me up yeah And I'll be right here with you 'til the end I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it You ain't sure yet but I'm for ya' All I could want all I can wish for Nights alone that we miss more And days we save as souvenirs There's no time I wanna make more time And give you my whole life I left my girl I'm in Mallorca Hate to leave her call it torture Remember when I couldn't hold her Left the baggage for a mover I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it I get the feeling so I'm sure Sure Hand in my hand because I'm yours I can't I can't pretend I can't ignore you're right for me Don't think you wanna know just where I've been oh Don't be distracted The one I need is right in my arms Oh Your kisses taste the sweetest with mine And I'll be right here with you 'til end of time I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it I got my peaches out in Georgia Oh yeah shit I get my weed from California That's that shit I took my chick up to the North yeah Badass bitch I get my light right from the source yeah Yeah that's it,2021,3,202103
롤린 (Rollin'),브레이브걸스,댄스,2017.03.07,그 날을 잊지 못해 babe 날 보며 환히 웃던 너의 미소에 홀린 듯 I'm fall in love But 너무 쪽팔림에 난 그저 한마디 말도 못해 babe I wanna you 너의 눈빛은 날 자꾸 네 곁을 맴돌게 해 Just only you 굳게 닫힌 내 맘이 어느새 무너져버려 Because of you 온통 너의 생각뿐이야 나도 미치겠어 너무 보고 싶어 매일 매일 매일 자꾸 초라해지잖아 내 모습이 그대여 내게 말해줘 사랑한다고 Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' 하루가 멀다 하고 Rolling in the deep Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' 기다리고 있잖아 Babe Just only you 기다리고 있잖아 Babe Just only you Hey I just wanna be with you 오늘 밤이 가기 전에 I can't feel you 조금 더 다가와 줘 Tonight I'm ready for you You wanna touch me I know 대체 뭘 고민해 빨리 안아 아닌 척 모르는 척 하다가 늦게 놓치고 후회 말아 I wanna you 너의 눈빛은 날 자꾸 네 곁을 맴돌게 해 Just only you 굳게 닫힌 내 맘이 어느새 무너져버려 Because of you 온통 너의 생각뿐이야 나도 미치겠어 너무 보고 싶어 매일 매일 매일 자꾸 초라해지잖아 내 모습이 그대여 내게 말해줘 사랑한다고 Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' 하루가 멀다 하고 Rolling in the deep Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' 기다리고 있잖아 Babe Just only you 이제 와 숨기려 하지 마요 그대여 아닌 척하지 마요 온종일 난 그대 생각에 잠긴 채로 난 이대로 기다리고 있어요 Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' 하루가 멀다 하고 Rolling in the deep Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' Rollin' 기다리고 있잖아 Babe Just only you 기다리고 있잖아 Babe Just only you,2017,3,201703
Weekend,태연 (TAEYEON),댄스,2021.07.06,가장 가까운 바다 혼자만의 영화관 그냥 이끌리는 대로 해도 괜찮으니까 Every morning 울린 Beep beep beep beep 소리 귀에 윙윙윙 맴도는 나를 재촉하던 모닝콜 없이 일어나 Cheese cake 한 입 유리컵 한가득 내린 커피 한 잔 아이스로 할래 아주 여유롭게 문득 시곌 보니 벌써 시간은 열두시 그래도 아주 느긋해 그리곤 하품 한 번 한껏 기지개도 켜고 생각해 오늘 뭐 할까 창문 너머 계절에 시선이 닿은 그 순간 쏟아지는 햇살 내 맘을 두드려 내게 손짓하는 싱그러운 바람 타고서 떠나볼래 When the weekend comes I can do whatever I want 바람 따라 흩어진 cloud 더 자유롭게 we can go 가장 가까운 바다 혼자만의 영화관 그냥 이끌리는 대로 해도 괜찮으니까 훌쩍 떠나보는 drive 뚜벅 걸어도 좋아 뭐든 발길 닿는 대로 지금 떠나보려 해 oh 하루쯤 세상의 얘길 무시한 채 내가 나의 하루를 조립해 보려 해 더는 no no stress 고민 안 할래 Move it right left right 내 맘대로 가본 적도 없는 길 뭐가 있든지 I don’t need a map when I roll the streets 이어 가보는 이윤 for a little fun 계속 up up up 좀 더 올라가 한쪽 길모퉁이 따라 맘대로 자라난 조그만 이름 모를 꽃 한참을 바라보다 뜨거운 햇살을 피해 벤치에 잠깐 앉아 봐 느려지는 걸음 그림자의 속도를 따라 함께 걷는 태양과 발을 맞추고 뒤이을 달빛을 따라 돌아오고 싶은 걸 떠나볼래 When the weekend comes I can do whatever I want 바람 따라 흩어진 cloud 더 자유롭게 we can go 아무 계획이 없어서 완벽한 plan 우연히 찾아낸 secret place 그곳에 두고 와 나만의 작은 짐 골목길 끝을 돌아 만나게 될 기분 좋은 surprise 또 설렘 두근두근 온종일 고소한 향기의 coffee shop 눈에 들어오는 예쁜 옷 Do it for the weekend do it for the weekend 맘에 들어오는 걸 더는 망설이긴 싫은 걸 그래도 돼 When the weekend comes I can do whatever I want 바람 따라 흩어진 cloud 더 자유롭게 we can go 가장 가까운 바다 혼자만의 영화관 그냥 이끌리는 대로 해도 괜찮으니까 훌쩍 떠나보는 drive 뚜벅 걸어도 좋아 뭐든 발길 닿는 대로 지금 떠나보려 해 oh,2021,7,202107
Permission to Dance,방탄소년단,댄스,2021.07.09,It’s the thought of being young When your heart’s just like a drum Beating louder with no way to guard it When it all seems like it’s wrong Just sing along to Elton John And to that feeling we’re just getting started  When the nights get colder And the rhythms got you falling behind Just dream about that moment When you look yourself right in the eye eye eye Then you say  I wanna dance The music’s got me going Ain’t nothing that can stop how we move yeah Let’s break our plans And live just like we’re golden And roll in like we’re dancing fools  We don’t need to worry ‘Cause when we fall we know how to land Don’t need to talk the talk just walk the walk tonight ‘Cause we don’t need permission to dance  There’s always something that’s standing in the way But if you don’t let it faze ya You’ll know just how to break Just keep the right vibe yeah ‘Cause there’s no looking back There ain’t no one to prove We don’t got this on lock yeah  The wait is over The time is now so let’s do it right Yeah we’ll keep going And stay up until we see the sunrise And we’ll say  I wanna dance The music’s got me going Ain’t nothing that can stop how we move yeah Let’s break our plans And live just like we’re golden And roll in like we’re dancing fools  We don’t need to worry ‘Cause when we fall we know how to land Don’t need to talk the talk just walk the walk tonight ‘Cause we don’t need permission to dance  Da na na na na na na Da na na na na na na Da na na na na na na No we don’t need permission to dance  Da na na na na na na Da na na na na na na Da na na na na na na  Well let me show ya That we can keep the fire alive ‘Cause it’s not over Till it’s over say it one more time Say  I wanna dance The music’s got me going Ain’t nothing that can stop how we move yeah Let’s break our plans And live just like we’re golden And roll in like we’re dancing fools  We don’t need to worry ‘Cause when we fall we know how to land Don’t need to talk the talk just walk the walk tonight ‘Cause we don’t need permission to dance,2021,7,202107
