Title,Singer,Genre,Release,Lyric,Year,Month,Year_Month
Alcohol-Free,TWICE (트와이스),댄스,2021.06.09,너와 있을 땐 내게 신기한 변화가 있는데 자꾸 미소 짓게 돼 아무 일도 없는데  자꾸 마법에 걸려 밤을 새워도 안 졸려 다른 생각 지워져 심장 소리는 커져 사랑이 참 쉬워져 그래서 빠지고 빠져 점점 너에게 That's what you do to me  나는 Alcohol free 근데 취해 마신 게 하나도 없는데 너와 있을 때마다 이래 날 보는 네 눈빛 때문에  너는 눈으로 마시는 내 Champagne 내 Wine 내 Tequila margarita Mojito with lime Sweet mimosa pina colada  I'm drunk in you I'm drunk in you  너는 정말 특별해 전혀 독하지 않은데 낮에 별이 뜨게 해 한 모금 마셨는데  자꾸 마법에 걸려 밤을 새워도 안 졸려 다른 생각 지워져 심장 소리는 커져 사랑이 참 쉬워져 그래서 빠지고 빠져 점점 너에게 That's what you do to me  나는 Alcohol free 근데 취해 마신 게 하나도 없는데 너와 있을 때마다 이래 날 보는 네 눈빛 때문에  Alcohol 도수는 완전 0.0% 근데 마실 때마다 자꾸 길을 잃어 자고 일어나도 깨지가 않아 근데 이 기분 싫지가 않아  Easy to the mouth and tummy Like a drink made of honey 이 술 이름은 도대체 뭐니 Makes the whole world bright and sunny  나는 Alcohol free 근데 취해 마신 게 하나도 없는데 너와 있을 때마다 이래 날 보는 네 눈빛 때문에  너는 눈으로 마시는 내 Champagne 내 Wine 내 Tequila margarita Mojito with lime Sweet mimosa pina colada  I'm drunk in you I'm drunk in you,2021,6,202106
Dynamite,방탄소년단,댄스,2020.08.24,Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shoes on get up in the morn Cup of milk let’s rock and roll King Kong kick the drum rolling on like a rolling stone Sing song when I’m walking home Jump up to the top LeBron Ding dong call me on my phone Ice tea and a game of ping pong This is getting heavy Can you hear the bass boom I’m ready Life is sweet as honey Yeah this beat cha ching like money Disco overload I’m into that I’m good to go I'm diamond you know I glow up Hey so let’s go Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite woah Bring a friend join the crowd Whoever wanna come along Word up talk the talk just move like we off the wall Day or night the sky’s alight So we dance to the break of dawn Ladies and gentlemen I got the medicine so you should keep ya eyes on the ball huh This is getting heavy Can you hear the bass boom I’m ready Life is sweet as honey Yeah this beat cha ching like money Disco overload I’m into that I’m good to go I'm diamond you know I glow up Let’s go Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite woah Dynnnnnanana life is dynamite Dynnnnnanana life is dynamite Shining through the city with a little funk and soul So I’mma light it up like dynamite woah Dynnnnnanana eh Dynnnnnanana eh Dynnnnnanana eh Light it up like dynamite Dynnnnnanana eh Dynnnnnanana eh Dynnnnnanana eh Light it up like dynamite Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite Cos ah ah I’m in the stars tonight So watch me bring the fire and set the night alight Shining through the city with a little funk and soul So I’mma light it up like dynamite woah Dynnnnnanana life is dynamite Dynnnnnanana life is dynamite Shining through the city with a little funk and soul So I’mma light it up like dynamite woah,2020,8,202008
라일락,아이유,댄스,2021.03.25,나리는 꽃가루에 눈이 따끔해 (아야) 눈물이 고여도 꾹 참을래 내 마음 한켠 비밀스런 오르골에 넣어두고서 영원히 되감을 순간이니까  우리 둘의 마지막 페이지를 잘 부탁해 어느 작별이 이보다 완벽할까 Love me only till this spring  오 라일락 꽃이 지는 날 good bye 이런 결말이 어울려 안녕 꽃잎 같은 안녕 하이얀 우리 봄날의 climax 아 얼마나 기쁜 일이야  Ooh ooh Love me only till this spring 봄바람처럼 Ooh ooh Love me only till this spring 봄바람처럼  기분이 달아 콧노래 부르네 (랄라) 입꼬리는 살짝 올린 채 어쩜 이렇게 하늘은 더 바람은 또 완벽한 건지 오늘따라 내 모습 맘에 들어  처음 만난 그날처럼 예쁘다고 말해줄래 어느 이별이 이토록 달콤할까 Love resembles misty dream  오 라일락 꽃이 지는 날 good bye 이런 결말이 어울려 안녕 꽃잎 같은 안녕 하이얀 우리 봄날의 climax 아 얼마나 기쁜 일이야  Ooh ooh Love resembles misty dream 뜬구름처럼 Ooh ooh Love resembles misty dream 뜬구름처럼  너도 언젠가 날 잊게 될까 지금 표정과 오늘의 향기도 단잠 사이에 스쳐간 봄날의 꿈처럼  오 라일락 꽃이 지는 날 good bye 너의 대답이 날 울려 안녕 약속 같은 안녕 하이얀 우리 봄날에 climax 아 얼마나 기쁜 일이야  Ooh ooh Love me only untill this spring 봄바람처럼 Ooh ooh Love me only untill this spring 봄바람처럼  Ooh ooh Love resembles misty dream 뜬구름처럼 Ooh ooh Love resembles misty dream 뜬구름처럼,2021,3,202103
ASAP,STAYC(스테이씨),댄스,2021.04.08,STAYC girls it’s going down Time is running boy 그건 누구에겐 돈 You know I’m so dope 더는 못 기다려 줘 원래 나는 좀 참을성이 없는 몸 솔직한 게 좋은 걸 But you gotta know yeah e yeah 달콤하기만 해도 싫어 So check it 매너 좋은 거 착한 거는 나도 구분해 e yeah 순간 반짝할 거면 시작도 않는 걸 Sometimes 내가 생각해도 I think I’m really cool ASAP 내 반쪽 아니 완전 Copy 나와 똑같아 내 맘 잘 알아줄 ASAP 꼭 닮은 내 Decalcomanie 눈앞에 나타나 줘 ASAP whoo woo woo woo ASAP whoo woo woo woo 눈앞에 눈앞에 나타나 줘 No I’m not picky 가끔 까탈스럽대 It’s ok but I care 콧대 높대 아닌데 Get it 이해하게 될 걸 너만 나타나면 So baby hurry up I’m just waiting on 달콤하기만 해도 싫어 So check it 겉만 그런지 진심인지 나도 구분해 e yeah 금방 타오른다면 쉽게 꺼지는 걸 Sometimes 내가 생각해도 I think I’m really cool ASAP 내 반쪽 아니 완전 Copy 나와 똑같아 내 맘 잘 알아줄 ASAP 꼭 닮은 내 Decalcomanie 눈앞에 나타나 줘 ASAP whoo woo woo woo ASAP whoo woo woo woo 눈앞에 눈앞에 나타나 줘 실제론 어떤 느낌인 걸까 A beautiful a beautiful love 한 번도 느껴본 적 없는 걸 So where you at 기다리고 있는데 ASAP ASAP 내 반쪽 아니 완전 Copy 나와 똑같아 내 맘 잘 알아줄 ASAP 꼭 닮은 내 Decalcomanie 눈앞에 나타나 줘 ASAP Whoo woo woo woo ASAP Whoo woo woo woo 눈앞에 눈앞에 나타나 줘,2021,4,202104
비와 당신,이무진,록메탈 국내드라마,2021.06.18,이젠 당신이 그립지 않죠 보고 싶은 마음도 없죠 사랑한 것도 잊혀 가네요 조용하게 알 수 없는 건 그런 내 맘이 비가 오면 눈물이 나요 아주 오래 전 당신 떠나던 그날처럼 이젠 괜찮은데 사랑 따윈 저버렸는데 바보 같은 난 눈물이 날까 아련해지는 빛 바랜 추억 그 얼마나 사무친 건지 미운 당신을 아직도 나는 그리워하네 이젠 괜찮은데 사랑 따윈 저버렸는데 바보 같은 난 눈물이 날까 다신 안 올 텐데 잊지 못한 내가 싫은데 언제까지나 맘은 아플까,2021,6,202106
안녕 (Hello),조이 (JOY),록메탈,2021.05.31,외로운 날들이여 모두 다 안녕 내 마음속의 눈물들도 이제는 안녕 Oh 어제의 너는 바람을 타고 멀리 후회도 없이 미련 없이 날아가 Goodbye oh oh oh 영원히 Oh oh oh 거울에 비친 너의 모습이 슬퍼 늘 웃음 짓던 예전의 넌 어디에 있니 저 파란 하늘 눈부신 별들도 모두 다 너를 위해 있잖니 더 이상 네 안에 그 일은 없던 일 그래서 아픈 기억 모두 버려야할 일 눈물짓지 마 새로운 오늘을 맞이할 준비를 해봐 Ooh ooh 외로운 날들이여 모두 다 안녕 내 마음속의 눈물들도 이제는 안녕 Oh 어제의 너는 바람을 타고 멀리 후회도 없이 미련 없이 날아가 Goodbye oh oh oh 영원히 Oh oh oh 슬프게 내린 비는 꽃을 피우고 너의 눈물은 예쁜 사랑을 피울 거야 슬퍼하지 마 새로운 오늘을 맞이할 준비를 해봐 Ooh ooh 햇살 가득한 날들이여 안녕 긴 잠에서 날 깨워준 아침이여 안녕 Oh 너의 유리처럼 맑은 미소가 세상을 환히 웃음 짓게 할 거야 Ooh ah 날아가도 돼 외로운 날들이여 모두 다 안녕 내 마음속의 눈물들도 이제는 안녕 Oh 어제의 너는 바람을 타고 멀리 후회도 없이 미련 없이 날아가 햇살 가득한 날들이여 안녕 긴 잠에서 날 깨워준 아침이여 안녕 Oh 너의 유리처럼 맑은 미소가 세상을 환히 웃음 짓게 할 거야 Goodbye oh oh oh 영원히 Oh oh oh,2021,5,202105
Celebrity,아이유,댄스,2021.03.25,세상의 모서리 구부정하게 커버린 골칫거리 outsider  걸음걸이 옷차림 이어폰 너머 play list 음악까지 다 minor  넌 모르지 떨군 고개 위 환한 빛 조명이 어딜 비추는지  느려도 좋으니 결국 알게 되길 The one and only You are my celebrity  잊지마 넌 흐린 어둠 사이 왼손으로 그린 별 하나 보이니 그 유일함이 얼마나 아름다운지 말야 You are my celebrity  celebrity You are my celebrity  지쳐버린 표정 마치 전원을 꺼놓은 듯이 심장소린 too quiet  네가 가진 반짝거림 상상력 identity 까지 모조리 diet  넌 모르지 아직 못다 핀 널 위해 쓰여진 오래된 사랑시  헤매도 좋으니 웃음 짓게 되길 The one and only You are my celebrity  잊지마 넌 흐린 어둠 사이 왼손으로 그린 별 하나 보이니 그 유일함이 얼마나 아름다운지 말야 You are my celebrity  발자국마다 이어진 별자리 그 서투른 걸음이 새겨놓은 밑그림 오롯이 너를 만나러 가는 길 그리로 가면 돼 점선을 따라  잊지마 이 오랜 겨울 사이 언 틈으로 피울 꽃 하나 보이니 하루 뒤 봄이 얼마나 아름다울지 말야 You are my celebrity  celebrity You are my celebrity,2021,3,202103
운전만해 (We Ride),브레이브걸스,댄스,2020.08.14,넌 운전만 해 계속 운전만 해 왜 이리 된 걸까 우리 사이가 갑자기 어색해졌단 걸 왜 달라졌을까 웃음이 말라서 함께 있는 게 불편해졌어 말없이 그냥 걷기만 해요 We just walking down the street 아무런 말도 없이 처음과는 너무 다른 사이 말없이 그냥 먹기만 해요 부쩍 줄어든 대화 속에 What happened to us 침묵이 내려 지금 달리는 차 안에 우린 아무 말 없네 너는 그렇게 운전만 해 난 핸드폰 보네 넌 창밖을 보네 난 너무 답답해 우리 사이는 막막해 Babe We're still in your car In your car 계속해서 침묵만 So quiet Can you break the silence cause I don't want it Radio 소리만 이곳에 이곳에 That's so sad 무슨 말 좀 해봐 말없이 그냥 걷기만 해요 We just walking down the street 아무런 말도 없이 처음과는 너무 다른 사이 말없이 그냥 먹기만 해요 부쩍 줄어든 대화 속에 What happened to us 침묵이 내려 지금 달리는 차 안에 우린 아무 말 없네 너는 그렇게 운전만 해 난 핸드폰 보네 넌 창밖을 보네 난 너무 답답해 우리 사이는 막막해 Babe You know I know We both know 이 침묵은 깨져야만 해 너도 나도 다 알면서도 쉽게 뗄 수 없는 입 달리는 차 안에 우린 아무 말 없네 너는 그렇게 운전만 해 난 핸드폰 보네 넌 창밖을 보네 난 너무 답답해 우리 사이는 막막해 Babe 넌 운전만 해 계속 운전만 해,2020,8,202008
하루만 더,빅마마,발라드,2021.06.24,하루만 더 우리 이별을 늦춘다면 어땠을까 그럴 일 없다는 걸 나는 알면서도 아직 널 보낼 수가 없나봐 한번만 나 이렇게 널 불러볼게 오늘까지만 그리워할게 끝이 보이지않아 내 사랑은 가슴깊이 이별을 남기고 새까맣게 흉터가 되어도 또 다시 너를 그리워해 내 전부인 널 단 하루만 더 너를 사랑할게 단 한순간도 못 잊어 너 없는 세상이 너무나 아파서 무너져가 다시 돌아와줘 시간에 기대어 애써봐도 이별은 왜 계속 선명해질까 잘 지내란 인사 못할 것 같아 오늘까지만 눈물 흘릴게 oh 혼자 남은 내 맘을 이해해줘 네 흔적이 그대로 남아서 내 입술이 추억을 부르고 여전히 너를 사랑한다 내 전부인 널 단 하루만 더 너를 사랑할게 단 한순간도 못 잊어 너 없는 세상이 너무나 아파서 무너져가 다시 돌아와줘 시간에 기대어 애써봐도 이별은 왜 계속 선명해질까 우리의 이별 끝에 아직도 서있어 지금도 네게 하고 픈 말 뜨겁게 널 사랑한다고 단 한순간도 못 보내 너 없는 세상이 너무나 아파 목이 메어와 정말 끝난거니 참 행복했었던 그때 우린 추억마저 사라지고 있잖아,2021,6,202106
상상더하기,MSG워너비 TOP 8 (별루지 김정수 강창모 정기석 이동휘 이상이 박재정 원슈타인),댄스,2021.05.22,워우예~ 예~ 1 2 Come on R U ready! 3 4 Do it I'm ready! 5 6 Baby are you ready! 지금 나와 어디든 가자 지루한 하루 여기까지만 All stop 작은 가방 운동화 챙겨 자 더 크게 Radio를 높이고 코발트블루 물결 눈부신 바다 (달빛 가득 묻은 작은 섬) 야경이 눈부신 도시는 어때 (함께라면 어디든 좋아 난~) 너와 나 그곳으로 떠나는 거야 상상에 상상에 상상을 더해서 (어머 깜짝야) 눈부셔 눈부셔 눈부셔 이건 뭐 Oh hello new world 두 손 모아 소리치면 푸른 하늘이 내게로 와 (날아가볼래) 상상의 상상의 미래로 가볼까 (바람을 타고) 새로운 눈빛에 가슴이 붐 붐 붐 ~ Oh 발견했어 우리들만의 Paradise~ (Oh Paradise~ Yeah~) 흑백영화 같은 하루에 레몬 터지듯 짜릿함이 필요해 지금 당장 널 데려갈게 꿈꿔오던 사진 속 그곳으로 민트 그린 빛 바람 가득한 숲 속 (달콤한 향기의 칵테일) 지도를 벗어나 ticket to the dream (함께라면 어디든 좋아 난) 너와 나 그곳으로 떠나는 거야 상상에 상상에 상상을 더해서 (어머 깜짝야) 눈부셔 눈부셔 눈부셔 이건 뭐 Oh hello new world 두 손 모아 소리치면 푸른 하늘이 내게로 와 (날아가볼래) 상상의 상상의 미래로 가볼까 (바람을 타고) 새로운 눈빛에 가슴이 붐 붐 붐~ Oh 발견했어 우리들만의 Paradise~ 너와 나의 비밀스러운 풍경들 언제라도 다시 와 주겠니 은하수 아래 밤새 부른 노래 영원히 잊지 않을 거야~~ 이 시간 속에 영원히 네 품에 안기고 싶은 걸 (단둘이 이 순간 잠들고 싶은 걸) 지도엔 없는 이곳을 꼭 기억해줘 (우리들만의 Paradise~ Oh~) 상상에 상상에 상상을 더해서 (어머 깜짝야) 눈부셔 눈부셔 눈부셔 이건 뭐 oh hello new world 처음 만난 세상 속에 나의 가슴이 라 라 라 라 (날아가볼래) 상상의 상상의 미래로 가볼까 (바람을 타고) 새로운 눈빛에 가슴이 붐 붐 붐~ oh 발견했어 우리들만의 Paradise~ (너와 나~ Yeah~) 1 2 Come on R U ready! 3 4 Do it I'm ready! 5 6 Baby are you ready!,2021,5,202105
사이렌 Remix (Feat. UNEDUCATED KID Paul Blanco),호미들,랩힙합,2021.03.20,울려댔어 사이렌 텅 빈 길거리엔 도망치다 흘린 칼자루와 피가 흥건해 우리 그때 어릴땐 뭘 몰랐었지 man 그냥 힘쎈 형이 제일로 멋졌었지 그땐 그래 우린 살아나왔어 지옥 이제 어딜가든 다 비옥 수도 없이 맛본 치욕 어릴때부터 입에 붙은 쌍욕 절대 할 수 없었지 신고 할 수 있는게 오직 기도 어떻게 느끼겠어 피곤 붉게 물들지 않을려 내 흰옷 침대가 없어서 엄마랑 잤어 매일 밤마다 우는 소리가 들려 난 대체 뭘 해야 되는지 몰라서 그냥 계속했어 자는 척 떨면서 BBQ 치킨을 시켰어 엄마는 우리를 속였어 고작 15000원 때문에 엄마 내가 돈 어떻게든 벌어올게 이제 남몰래 눈물 흘리지 않아도 돼 내 몸 하나 불살라서라도 꺼내줄게 난 그 모습 다시 실눈 뜨고 볼 순 없기에 울려댔어 사이렌 텅 빈 길거리엔 도망치다 흘린 칼자루와 피가 흥건해 우리 그때 어릴땐 뭘 몰랐었지 man 그냥 힘쎈 형이 제일로 멋졌었지 그땐 그래 우린 살아나왔어 지옥 이제 어딜가든 다 비옥 수도 없이 맛본 치욕 어릴때부터 입에 붙은 쌍욕 절대 할 수 없었지 신고 할 수 있는게 오직 기도 어떻게 느끼겠어 피곤 붉게 물들지 않을려 내 흰옷 여기서 더 있다간 감방이 내 방 종신형이 친구 책가방 안에 어린 내가 짝사랑하던 그 여잔 이 block에서 지금 몸 팔아 새꺄 this real life 김치 냄새 땜에 놀려대길래 도시락통을 닫아 That’s real life 그런 날 보고 지 점심을 나눠준 꼬마가 있었어 That’s real life 어느 날 관 속에 그 친구의 얼굴을 만지게 됐어 That’s 울려댔어 사이렌 텅 빈 길거리엔 도망치다 흘린 칼자루와 피가 흥건해 우리 그때 어릴땐 뭘 몰랐었지 man 그냥 힘쎈 형이 제일로 멋졌었지 그땐 그래 우린 살아나왔어 지옥 이제 어딜가든 다 비옥 수도 없이 맛본 치욕 어릴때부터 입에 붙은 쌍욕 절대 할 수 없었지 신고 할 수 있는게 오직 기도 어떻게 느끼겠어 피곤 붉게 물들지 않을려 내 흰옷,2021,3,202103
상상더하기,라붐 (LABOUM),댄스,2016.04.06,1 2 Come On R U Ready 3 4 Do It I'm Ready 5 6 Baby Are You Ready 지금 나와 어디든 가자 지루한 하루 여기까지만 All Stop 작은 가방 운동화 챙겨 자 더 크게 Radio를 높이고 코발트블루 물결 눈부신 바다 달빛 가득 묻은 작은 섬 야경이 눈부신 도시는 어때 함께라면 어디든 좋아 난 너와 나 그곳으로 떠나는 거야 상상에 상상에 상상을 더해서 어머 깜짝야 눈부셔 눈부셔 눈부셔 이건 뭐 Oh Hello New World 두 손 모아 소리치면 푸른 하늘이 내게로 와 날아가볼래 상상의 상상의 미래로 가볼까 바람을 타고 새로운 눈빛에 가슴이 붐 붐 붐 Oh 발견했어 우리들만의 Paradise 흑백영화 같은 하루에 레몬 터지듯 짜릿함이 필요해 지금 당장 널 데려갈게 꿈꿔오던 사진 속 그곳으로 민트그린빛 바람 가득한 숲 속 달콤한 향기의 칵테일 지도를 벗어나 Ticket To The Dream 함께라면 어디든 좋아 난 너와 나 그곳으로 떠나는 거야 상상에 상상에 상상을 더해서 어머 깜짝야 눈부셔 눈부셔 눈부셔 이건 뭐 Oh Hello New World 두 손 모아 소리치면 푸른 하늘이 내게로 와 날아가볼래 상상의 상상의 미래로 가볼까 바람을 타고 새로운 눈빛에 가슴이 붐 붐 붐 Oh 발견했어 우리들만의 Paradise 너와 나의 비밀스런 풍경들 언제라도 다시 와 주겠니 은하수 아래 밤새 부른 노래 영원히 잊지 않을 거야 이 시간 속에 영원히 네 품에 안기고 싶은걸 단 둘이 이순간 잠들고 싶은걸 지도엔 없는 이 곳을 꼭 기억해줘 우리들만의 Paradise 상상에 상상에 상상을 더해서 어머 깜짝야 눈부셔 눈부셔 눈부셔 이건 뭐 oh Hello New World 처음 만난 세상 속에 나의 가슴이 라 라 라 라 날아가볼래 상상의 상상의 미래로 가볼까 바람을 타고 새로운 눈빛에 가슴이 붐 붐 붐 Oh 발견했어 우리 들만의 Paradise 1 2 Come On R U Ready 3 4 Do It I'm Ready 5 6 Baby Are You Ready,2016,4,201604
Timeless,SG 워너비,발라드,2004.01.20,어쩜 살아가다 보면 한 번은 날 찾을지 몰라 나 그 기대 하나로 오늘도 힘겹게 버틴 걸 난 참 기억력도 좋지 않은데 왜 너에 관한 건 그 사소한 추억들까지도 생각이 나는지  너를 잊을 순 없지만 붙잡고 싶지만 이별 앞에서 할 수 있는 건 좋은 기억이라도 남도록 편히 보내주는 일  혼자 남아도 괜찮아 가도 괜찮아 세상에 제일 자신있는 건 내가 언제나 그래왔듯이 너를 기다리는 일  어쩜 살아가다보면 한 번은 날 찾을지 몰라 난 그 기대 하나로 오늘도 힘겹게 버틴 걸 부디 하루빨리 좋은 사람과 행복하길 바래 그래야만 내 마음 속에서 널 보낼 것 같아  너를 잊을 순 없지만 붙잡고 싶지만 이별 앞에서 할 수 있는 건 좋은 기억이라도 남도록 편히 보내주는 일  이젠 멀어져 가지만 잠시였지만 태어나 처음 잘한 듯한 건 내겐 아무리 생각해봐도 너를 사랑했던 일  서로가 하나씩 이별의 선물을 나눠간 거잖아 난 마음을 준 대신 넌 내게 추억을 준 거야  다시 또 나를 살아가게 할 거야  날 아프게 했지만 울게 했지만 이것 하나만큼은 고마워 눈 감는 그날 내가 가져갈 추억 만들어줘서,2004,1,200401
멜로디,ASH ISLAND,랩힙합,2021.02.25,어딘가 들어본 듯한 이 Melody 떠올라 작은 기억들이 My memories 날 담은 소파는 커 It’s too much Too much 기억할수록 난 되어만 가 Loser Loser 어딘가 들어본 듯한 이 Melody 떠올라 작은 기억들이 My memories 날 담은 소파는 커 It’s too much Too much 기억할수록 난 되어만 가 Loser Loser I’m a Loser 난 처음 너의 바램이 되고 싶어 세상을 다 주겠다고 약속을 해 많은 눈들의 착각이 나에겐 혼란이 되어 너만 힘들게 했지 더 잃을 것도 없었는데 날 너와 비교했어 참 나는 못된 사람이 됐고 모든 내 말들은 널 위한 거였단 핑계가 돼 근데 이젠 혼자 살기에는 버거운 집과 혼자 앉아있긴 너무 커 소파 또 다 쓰지도 못하는 돈과 옷 널 데려다줄 만한 큰 차 뭐 다 가져버리고 나서 난 TV에 너와 함께 보던 영화 흘러나오다가 혼잣말 옆에 없잖아 너가 하루 종일 싸우고 안은 채 잠들어도 좋아 다 괜찮으니 와서 채워주라 이 소파 혼자는 이 공간이 너무 커 필요해 너가 필요해 너가 어딘가 들어본 듯한 이 Melody 떠올라 작은 기억들이 My memories 날 담은 소파는 커 It’s too much Too much 기억할수록 난 되어만 가 Loser Loser 어딘가 들어본 듯한 이 Melody 떠올라 작은 기억들이 My memories 날 담은 소파는 커 It’s too much Too much 기억할수록 난 되어만 가 Loser Loser I’m a Loser Oooh 영원할 것 같았던 약속들 손을 잡아주겠다던 너와 나 둘 앞이 안 보일 때 너가 돼준 내 눈 겨울에 함께 봤던 눈 불타올랐지 아무리 추워도 난 With you 불이 꺼져 재만 남아도 Lovin u 라고 말하던 때 그때 그 기억인 듯 아직두 너와 듣던 노래들의 가사들 뻔한듯했던 그 Melody 가 익숙하던 예전 그대로 고정돼있던 곡 뻔하던 그 제목 초라해 질까 봐 난 말을 못 했어 필요해 너가 어딘가 들어본 듯한 이 Melody 떠올라 작은 기억들이 My memories 날 담은 소파는 커 It’s too much Too much 기억할수록 난 되어만 가 Loser Loser 어딘가 들어본 듯한 이 Melody 떠올라 작은 기억들이 My memories 날 담은 소파는 커 It’s too much Too much 기억할수록 난 되어만 가 Loser Loser I’m a Loser,2021,2,202102
내 손을 잡아,아이유,발라드 국내드라마,2011.05.25,느낌이 오잖아  떨리고 있잖아  언제까지 눈치만 볼 거니  네 맘을 말해봐  딴청 피우지 말란 말이야  네 맘 가는 그대로  지금 내 손을 잡아  어서 내 손을 잡아  우연히 고개를 돌릴 때 마다  눈이 마주치는 건  며칠 밤 내내 꿈속에 나타나  밤새 나를 괴롭히는 건  그 많은 빈자리 중에서 하필  내 옆자릴 고르는 건  나도 모르게 어느새 실없는 웃음  흘리고 있다는 건  그럼 말 다했지 뭐  우리 얘기 좀 할까  느낌이 오잖아 떨리고 있잖아  언제까지 눈치만 볼 거니  네 맘을 말해봐  딴청 피우지 말란 말이야  네 맘 가는 그대로  지금 내 손을 잡아  핸드폰 진동에  심장이 덜컥내려 앉는다는 건  오 나도 모르게  어느새 짓궂은 네 말투  자꾸 듣고 싶은걸  어떡해  저기 멀리 걸어온다  눈이 마주친다  언제까지 넌 모른척 할거니  사랑이 온거야 너와 나 말이야  네가 좋아 정말 못 견딜 만큼  그거면 된거야  더는 생각하지 말란 말이야  네 맘 가는 그대로  느낌이 오잖아 떨리고 있잖아  언제까지 눈치만 볼 거니  네 맘을 말해봐  딴청 피우지 말란 말이야  네 맘 가는 그대로  지금 내 손을 잡아  그냥 내 손을 잡아  지금 내 손을 잡아,2011,5,201105
밝게 빛나는 별이 되어 비춰줄게,송이한,R&BSoul,2020.12.29,우리의 모든 순간이 애틋해 눈물 날 때면 언제나 네게 닿을 수 있게 가까이서 머물게 유난히 더 힘든 날엔 더 이상 외롭지 않게 안아줄게 영원히 내 품에 너를 간직할게 세상이 널 외면해도 모두가 저버린대도 항상 곁에서 변함없이 늘 있어줄게 밝게 빛나는 별이 되어 너를 비춰줄게 매일 어두워 헤맬 때도 앞이 두려워도 언제나 널 지켜줄게 세상이 널 아프게 할 땐 내가 안아줄게 매일 포근한 바람으로 따듯한 햇살로 난 널 지켜줄게 매일 너의 모든 시간 속에 내가 함께할게 오직 너를 위한 소중한 꿈을 담아 밝게 빛나는 별이 되어 너를 비춰줄게 매일 어두워 헤맬 때도 앞이 두려워도 언제나 널 지켜줄게 세상이 널 아프게 할 땐 내가 안아줄게 매일 포근한 바람으로 따듯한 햇살로 난 널 지켜줄게 네가 걸어가는 그 길 따라 수많은 별이 되어 비춰줄게 눈부시게 또 아름답게 너를 비춰줄게 매일 세월이 흐른대도 시간이 지나도 언제나 널 사랑할게 영원히 너만을 빛나게 내가 비춰줄게 매일 길고 긴 시간 속에서 찾아올 끝에도 너를 사랑할게 매일,2020,12,202012
